iter	Passed	Remaining
0	1	184
1	3	149
2	4	133
3	4	118
4	6	116
5	7	111
6	8	107
7	9	105
8	10	103
9	11	101
10	12	99
11	13	99
12	14	97
13	15	96
14	16	95
15	17	93
16	18	92
17	19	90
18	20	88
19	21	87
20	22	86
21	24	85
22	25	84
23	26	83
24	27	82
25	28	80
26	29	79
27	30	78
28	32	78
29	33	77
30	34	76
31	35	75
32	36	74
33	37	73
34	38	71
35	39	70
36	40	69
37	41	68
38	42	67
39	44	66
40	45	64
41	45	62
42	46	61
43	47	60
44	48	59
45	49	58
46	51	57
47	51	56
48	53	55
49	54	54
50	55	53
51	56	51
52	57	50
53	58	49
54	59	48
55	60	47
56	61	46
57	62	45
58	63	44
59	64	43
60	65	42
61	66	40
62	67	39
63	69	38
64	70	37
65	71	36
66	72	35
67	73	34
68	74	33
69	75	32
70	77	31
71	78	30
72	79	29
73	80	28
74	81	27
75	82	26
76	83	24
77	84	23
78	85	22
79	86	21
80	87	20
81	89	19
82	90	18
83	91	17
84	92	16
85	93	15
86	94	14
87	95	13
88	96	11
89	97	10
90	99	9
91	100	8
92	101	7
93	102	6
94	104	5
95	105	4
96	106	3
97	107	2
98	108	1
99	109	0
